Malphite,Meele,Top,51.2
Darius,Meele,Top,51.6
Sylas,Meele,Top,50.88
Gnar,Switch,Top,49.42
Yorick,Meele,Top,50.44
Volibear,Meele,Top,51.66
Poppy,Meele,Top,52.72
Renekton,Meele,Top,49.4
Aatrox,Meele,Top,49.9
Elise,Switch,Jungle,53.43
Hecarim,Meele,Jungle,51.59
Shaco,Meele,Jungle,52.38
Karthus,Ranged,Jungle,52.1
Udyr,Meele,Jungle,50.9
Rek'Sai,Meele,Jungle,52.07
Lee Sin,Meele,Jungle,49.09
Evelynn,Meele,Jungle,52.56
Fiddlesticks,Ranged,Jungle,52.67
Katarina,Meele,Middle,52.65
Zed,Meele,Middle,50.7
Talon,Meele,Middle,51.41
Galio,Meele,Middle,53.28
Patheon,Meele,Middle,52.88
Anivia,Ranged,Middle,52.17
Yasuo,Meele,Middle,50.13
Qiyana,Meele,Middle,49.58
Twisted Fate,Ranged,Middle,50.00
Jinx,Ranged,Bottom,51.76
Kai'Sa,Ranged,Bottom,49.91
Samira,Ranged,Bottom,49.83
Tristana,Ranged,Bottom,50.56
Vayne,Ranged,Bottom,51.01
Ezreal,Ranged,Bottom,48.59
Sivir,Ranged,Bottom,50.75
Swain,Ranged,Bottom,55.45
Caitlyn,Ranged,Bottom,49.78
Thresh,Ranged,Support,51.93
Leona,Meele,Support,51.86
Senna,Ranged,Support,52.27
Blitzcrank,Meele,Support,50.43
Lulu,Ranged,Support,50.77
Maokai,Meele,Support,52.69
Morgana,Ranged,Support,49.43
Alistar,Meele,Support,49.3
Nautilus,Meele,Support,49.92